Nombre,Indice,Valido desde,Grupo de impuesto
Adquisición Bienes Inversión 21%,21,2012-09-01,IVA Normal Bienes Inversión
Adquisición Bienes Inversión 21% -1%R,0,2012-09-01,IVA Normal Bienes Inversión
Adquisición Bienes Inversión 21% -1%R (-1%),-1,2012-09-01,IVA Normal Bienes Inversión
Adquisición Bienes Inversión 21% -1%R (+21%),21,2012-09-01,IVA Normal Bienes Inversión
Adquisición B.Inmuebles 10%,10,2012-09-01,IVA Reducido B.Inmuebles
Adquisición B.Inmuebles 21%,21,2012-09-01,IVA Normal B.Inmuebles
"Adquisiciones a Canarias,Ceuta y Melilla 10%",10,2012-09-01,IVA Reducido
"Adquisiciones a Canarias,Ceuta y Melilla 21%",21,2012-09-01,IVA Normal
"Adquisiciones a Canarias,Ceuta y Melilla 4%",4,2001-01-01,IVA Super Reducido
Adquisiciones IGIC 0%,0,2012-07-01,IGIC Exento
Adquisiciones IGIC 15%,15,2020-01-01,IGIC Incrementado 2
Adquisiciones IGIC 3%,3,2012-07-01,IGIC Reducido
Adquisiciones IGIC 7%,7,2020-01-01,IGIC General
Adquisiciones IGIC 9.5%,9.5,2012-07-01,IGIC Incrementado 1
Adquisiciones IGIC Implícito 70% s15%,15,2020-01-01,IGIC Incrementado 2
Adquisiciones IGIC Implícito 70% s15% (10.5%),10.5,2020-01-01,IGIC Incrementado 2
Adquisiciones IGIC Implícito 70% s15% (4.5%),4.5,2020-01-01,IGIC Incrementado 2
Adquisiciones IGIC Implícito 70% s3%,3,2018-01-01,IGIC Reducido
Adquisiciones IGIC Implícito 70% s3% (0.9%),0.9,2018-01-01,IGIC Reducido
Adquisiciones IGIC Implícito 70% s3% (2.1%),2.1,2018-01-01,IGIC Reducido
Adquisiciones IGIC Implícito 70% s7%,7,2020-01-01,IGIC General
Adquisiciones IGIC Implícito 70% s7% (2.1%),2.1,2020-01-01,IGIC General
Adquisiciones IGIC Implícito 70% s7% (4.9%),4.9,2020-01-01,IGIC General
Adquisiciones IGIC Implícito 70% s9.5%,9.5,2018-01-01,IGIC Incrementado 1
Adquisiciones IGIC Implícito 70% s9.5% (2.85%),2.85,2018-01-01,IGIC Incrementado 1
Adquisiciones IGIC Implícito 70% s9.5% (6.65%),6.65,2018-01-01,IGIC Incrementado 1
Adquisiciones interiores exentas (art 20),0,2000-01-01,Exento
Adquisiciones interiores exentas (art 22),0,2001-01-01,Exento
Adquisiciones intracomunitarias 10%,0,2012-09-01,IVA Reducido
Adquisiciones intracomunitarias 10% (+10%),10,2012-09-01,IVA Reducido
Adquisiciones intracomunitarias 10% (-10%),-10,2012-09-01,IVA Reducido
Adquisiciones intracomunitarias 2%,0,2024-10-01,IVA Super Reducido 2%
Adquisiciones intracomunitarias 21%,0,2012-09-01,IVA Normal
Adquisiciones intracomunitarias 21% (+21%),21,2012-09-01,IVA Normal
Adquisiciones intracomunitarias 21% (-21%),-21,2012-09-01,IVA Normal
Adquisiciones intracomunitarias 21% (+21%) ISP,21,2012-09-01,IVA Normal ISP
Adquisiciones intracomunitarias 21% (-21%) ISP,-21,2012-09-01,IVA Normal ISP
Adquisiciones Intracomunitarias 21% ISP,0,2012-09-01,IVA Normal ISP
Adquisiciones intracomunitarias 2% (+2%),10,2024-10-01,IVA Super Reducido 2%
Adquisiciones intracomunitarias 2% (-2%),-2,2024-10-01,IVA Super Reducido 2%
Adquisiciones intracomunitarias 4%,0,2000-01-01,IVA Super Reducido
Adquisiciones intracomunitarias 4% (+4%),4,2000-01-01,IVA Super Reducido
Adquisiciones intracomunitarias 4% (-4%),-4,2000-01-01,IVA Super Reducido
Adquisiciones intracomunitarias 5%,0,9999-01-01,IVA Super Reducido
Adquisiciones intracomunitarias 5% (+5%),5,9999-01-01,IVA Super Reducido
Adquisiciones intracomunitarias 5% (-5%),-5,9999-01-01,IVA Super Reducido
Adquisiciones intracomunitarias 7.5%,0,2024-10-01,IVA Reducido 7.5%
Adquisiciones intracomunitarias 7.5% (+7.5%),7.5,2024-10-01,IVA Reducido 7.5%
Adquisiciones intracomunitarias 7.5% (-7.5%),-7.5,2024-10-01,IVA Reducido 7.5%
Adquisiciones intracomunitarias Bienes Inversión 21%,0,2012-09-01,IVA Normal Bienes Inversión
